char,outlier_frequency
涯,42
佳,42
大,38
械,36
崖,35
皆,35
晒,35
他,33
钗,26
哪,24
阶,18
豺,17
罢,17
骇,17
那,16
谐,16
挪,15
届,15
个,15
破,15
稗,14
亚,14
可,14
拖,13
懈,13
拿,13
介,12
朵,12
萝,12
隘,12
错,11
左,11
埋,11
雅,11
磨,11
霞,11
阿,11
魔,10
姥,10
模,10
洒,10
奶,9
摩,9
搓,8
挨,8
五,8
瘸,8
偕,8
贾,7
何,7
爸,7
斋,7
我,7
下,7
解,6
驾,6
荷,6
哥,6
簸,5
蓑,5
唾,5
河,5
夏,5
鸦,4
躲,4
莎,4
界,4
摹,4
妈,4
蘑,4
贺,4
虾,4
哑,3
午,3
婆,3
厦,3
薄,3
差,3
窝,3
做,3
吾,3
娑,3
屙,3
买,2
瑕,2
遐,2
莴,2
募,2
芥,2
拜,2
卖,2
歌,2
唆,2
慕,2
尬,2
枷,2
暮,2
墓,2
街,2
马,2
蟆,2
巴,2
讹,2
卧,2
梧,2
和,2
恶,2
戒,2
丫,2
忤,1
爬,1
坐,1
假,1
肚,1
戈,1
鹅,1
赂,1
伍,1
吴,1
悟,1
剁,1
货,1
暇,1
螺,1
倭,1
火,1
伙,1
筛,1
稼,1
柯,1
柴,1
素,1
糯,1
摆,1
稭,1
捱,1
伢,1
塑,1
蟹,1
多,1
驮,1
攋,1
苏,1
诉,1
酥,1
虏,1
骡,1
琐,1
袈,1
锁,1
葡,1
排,1
乌,1
污,1
涂,1
纱,1
债,1
堕,1
妥,1
椭,1
睦,1
嚇,1
窠,1
